base,onboard,cohort,days,r1,e1,r3,e3,r5,e5,r10,e10,r20,e20,r30,e30
ILV,2023-11-10,2023,1022,-0.03252710592160135,-0.028018715976677044,-0.1190575479566306,-0.10289759325735448,-0.021580483736447165,-0.08700977027431367,0.08527939949958285,0.08296239843740105,0.12301918265221023,0.12619860179374054,0.1242702251876564,0.12253931832507958
KAS,2023-11-17,2023,1015,0.019844442829105358,0.020963991514454827,-0.05371810714545333,-0.05603510820763513,-0.0710183906374936,-0.11792775628094432,-0.0652031692956313,-0.05976483007254463,-0.07501635531002393,-0.06407855547998464,-0.22810205713454967,-0.2070343159161252
BEAMX,2023-11-17,2023,1015,0.03178872722826753,0.032908275913617,0.07604841667685536,0.07373141561467356,0.06223254676610823,0.015323181122657514,0.064677833475975,0.07011617269906167,0.8624526225699962,0.8733904224000355,1.3902677588947303,1.4113355001131547
1000BONK,2023-11-22,2023,1010,-0.05826528360185401,-0.05508193218230917,-0.04215404987861404,-0.04375325213393999,-0.16309865371882593,-0.15766031449573925,0.07128669167954094,0.0512401319278597,1.5416022952990507,1.5356901536014906,3.2712425513131755,3.268898390187978
PYTH,2023-11-22,2023,1010,0.18201183431952672,0.18519518573907157,0.16520710059171595,0.16360789833639,-0.01680473372781066,-0.011366394504723987,0.09183431952662713,0.07178775977494589,-0.03502958579881654,-0.04094172749637659,-0.13491124260355025,-0.13725540372874756
SUPER,2023-11-26,2023,1006,-0.18475143403441674,-0.17931309481133006,-0.13479923518164438,-0.13546039920056951,-0.10683556405353734,-0.1318429878010451,0.42973231357552577,0.436694386272359,0.4063097514340346,0.39869919100704254,0.6453154875717018,0.6699280359816542
USTC,2023-11-27,2023,1005,-0.0634991119005327,-0.07901706174785084,0.14986678507992912,0.15304620422145943,0.196936056838366,0.17688949708668478,-0.056172291296625154,-0.04523449146658587,-0.20581705150976892,-0.18474931029134445,-0.24622557726465355,-0.2677425560015625
ONG,2023-11-27,2023,1005,0.023057412958266132,0.007539463110947997,-0.11113673045884243,-0.10795731131731212,-0.04772884482361084,-0.06777540457529208,-0.09222965183306431,-0.08129185200302502,-0.17500576435323956,-0.15393802313481508,-0.11966797325340095,-0.1411849519903099
ETHW,2023-11-28,2023,1004,-0.07870837537840569,-0.07936953939733082,-0.10460813992600071,-0.12961556367350846,0.062226707029936046,0.048414104012312276,-0.01379078372014797,-0.03488973050507027,-0.05011772620248911,-0.08092226281790349,0.2260343087790111,0.2456804617046472
JTO,2023-12-08,2023,994,-0.06567205800334641,-0.05492323704857427,-0.16249302844394864,-0.10453822360487075,-0.20819854991634135,-0.240957793563216,-0.30158951477969875,-0.33239405139511313,-0.35253764640267704,-0.33289149347704095,-0.5655605131065253,-0.564655076620165
1000SATS,2023-12-12,2023,990,-0.07090909090909103,-0.10366833455596569,0.3263636363636362,0.3510984873131533,0.33599999999999985,0.35706774121842433,0.18018181818181822,0.1778376570566209,0.48636363636363633,0.441078387982486,0.1374545454545455,0.14442153636166866
AUCTION,2023-12-15,2023,987,0.00852575488454721,0.0009151944575551685,0.2184724689165185,0.18766793230110412,0.5879218472468919,0.5545729892549631,0.45222024866785104,0.4381881061096531,-0.14884547069271747,-0.17905119071278774,-0.22841918294849028,-0.20247768027848767
1000RATS,2023-12-15,2023,987,-0.07260480780397172,-0.08021536823096376,-0.3223086749506445,-0.3531132115660589,-0.27155963302752284,-0.3049084910194516,-0.03927534548832878,-0.05330748804652674,-0.35468586691441184,-0.3848915869344821,-0.32033445592846355,-0.29439295325846093
ACE,2023-12-18,2023,984,-0.043525172093826225,-0.03477464188293722,0.10776634082130276,0.1034788844908987,-0.04143199326730118,-0.03520460731482933,-0.2276385921753954,-0.2079924392497593,-0.39389885126921453,-0.3929934147828542,-0.35740129331117876,-0.34929613021100026
MOVR,2023-12-26,2023,976,-0.13509529686000266,-0.1566122755969116,-0.00209104620869327,0.009763386057897616,-0.14836144247908956,-0.15167626528544997,-0.10366104483751548,-0.10369729001803907,-0.11068833127656652,-0.12938012160073153,-0.2277183600713013,-0.2245895160718704
XAI,2024-01-09,2024,962,0.08025308025308031,0.06834997056838588,-0.030636030636030598,0.045951550129564644,0.4640359640359639,0.48997746670596654,0.4157509157509156,0.40754485183025135,0.39843489843489843,0.368295349826101,0.3804528804528804,0.35918103671260937
WIF,2024-01-18,2024,953,0.10730088495575218,0.09909482103508793,-0.16150442477876092,-0.15882284230930643,-0.22676991150442471,-0.23493327996804336,-0.08849557522123885,-0.08657168525824399,-0.4004424778761062,-0.42939155062832235,0.0672013274336285,0.07619869265532186
MANTA,2024-01-18,2024,953,0.0676248387691174,0.05941877484845315,0.23005343652109822,0.2327350189905527,0.21190344573429143,0.20374007727067278,0.6020361157177079,0.6039600056807027,0.26561636263128796,0.23666728987907182,0.34250046065966466,0.35149782588135803
ONDO,2024-01-20,2024,951,0.3711240310077517,0.3738056134772062,0.2214147286821706,0.21325136021855196,0.08284883720930236,0.08597768120873328,0.16279069767441867,0.17132429959829065,0.08139534883720945,0.04059489112985504,0.690406976744186,0.6973469624463972
LSK,2024-01-25,2024,946,-0.025039123630672955,-0.07142077420772164,0.10485133020344284,0.1067752201664377,0.09546165884194036,0.10399526076581234,0.06964006259780908,0.07945807694453078,0.0626760563380282,0.019880199897722717,0.06455399061032874,0.0482024260637981
ALT,2024-01-25,2024,946,0.12215944368558307,0.07577779310853439,0.22854836706817316,0.23047225703116803,0.29277908853843293,0.3013126904623049,-0.06025704706320634,-0.050439032716484644,0.2765429032658635,0.23374704682555802,0.5735129765304854,0.5571614119839547
JUP,2024-01-31,2024,940,-0.09020968471866053,-0.10224196817397713,-0.1470810076934681,-0.14269028933859806,-0.18298385880223267,-0.18586380092150356,-0.23834665862120985,-0.2514313579065922,-0.23713984009654543,-0.24647326092265742,-0.07105144063961388,-0.09110428092763745
ZETA,2024-02-02,2024,938,-0.1628463702196421,-0.15845565186477206,-0.21341791848704295,-0.21629786060631384,-0.23268897001615896,-0.2616380427683751,0.23879346459991613,0.204837262759052,0.4969178287150635,0.5077297752509614,0.3639356035669399,0.34558289829178634
RONIN,2024-02-06,2024,934,-0.03329549754067329,-0.062244570292889434,-0.028755202421490544,-0.06955566012884495,0.020052970109723844,0.008094685834406645,0.11615588346575878,0.11133686172139234,0.1505864547862279,0.09752540376516938,0.16382898221717768,0.15260984844499914
DYM,2024-02-07,2024,933,0.2688885011341826,0.2476166573939116,0.3011690804397138,0.28808438115433144,0.24655383004711218,0.21259762820624806,0.29174664107485593,0.3007440062965493,0.08410399581224914,0.03708831474620089,0.12144477403594478,0.101851533419824
PIXEL,2024-02-19,2024,921,-0.058887876025524144,-0.06822129685163614,-0.04484958979033715,-0.034037643254439254,-0.050319051959890504,-0.06667061650642114,-0.10720145852324514,-0.08664387857576739,0.6559708295350957,0.6465837748058019,0.35041020966271663,0.25517203758760787
STRK,2024-02-20,2024,920,-0.03372621052094493,-0.025702867104255067,-0.01632736364100207,-0.005707080654305696,-0.004898209092300654,-0.008053119454475954,-0.07275881422521557,-0.09281165451323914,0.322312362875657,0.27663239510670024,0.06597275371192413,0.1003956164447738
GLM,2024-02-22,2024,918,-0.0823625033866161,-0.07174222039991973,0.10701706854510973,0.10386215818293443,0.05743700894066639,0.010421327874618136,0.9363316174478462,0.9179789121726927,0.7120021674342998,0.689284303058999,0.3270116499593607,0.32396743600266587
PORTAL,2024-02-29,2024,911,-0.046064699016174826,-0.06611753930419839,-0.01117225279306322,-0.029524958068216756,-0.14340503585125886,-0.07679830401766308,0.05515257628814396,0.045765521558850164,-0.1899699849924963,-0.28520815706760505,-0.19247123561780888,-0.1887303696252134
AXL,2024-03-01,2024,910,-0.0040504278264391624,0.002207721222264425,0.11255126322717834,0.03154427509039137,0.11538656270568559,0.07804072585586885,0.14576477140397937,0.10008480363502259,0.015897929218773754,0.05032079195162342,0.04592172548225393,0.02121109785902031
METIS,2024-03-12,2024,899,0.015883872929016274,-0.006833991446284493,-0.13178294573643423,-0.10514678756806362,-0.20109439124487005,-0.24848310756137615,-0.24099407204742362,-0.21484358966951345,-0.257561939504484,-0.2342585469901559,-0.3393372853017176,-0.3304806788533724
AEVO,2024-03-13,2024,898,-0.0619195046439629,-0.03905399285361277,-0.11145510835913308,-0.05105155534427519,-0.27554179566563475,-0.26403085084482947,-0.2557275541795666,-0.25877176813626146,-0.04551083591331262,0.014671373555840805,-0.4117647058823529,-0.37009357847944346
BOME,2024-03-16,2024,895,-0.11444220236379354,-0.16183091868029964,-0.4582492553089267,-0.374212897047029,-0.3353031613337176,-0.30088029860086796,-0.3497165369462861,-0.35148425885903,-0.33559142884596904,-0.32589364858931813,-0.5960891707504564,-0.5622071391087354
